timestamp,object_name,object_grab,total_grab,session,session_duration,zone,Timestamp,SourceFile,expected_zone,correct
2025-03-31 18:35:54,0,1,1,1,57.0,0,2025-03-31 18:35:56,20250331_183657_ys_zone_log.csv,0,True
2025-03-31 18:36:19,50,2,7,1,57.0,4,2025-03-31 18:36:09,20250331_183657_ys_zone_log.csv,3,False
2025-03-31 18:36:39,100,3,14,1,57.0,3,2025-03-31 18:36:40,20250331_183657_ys_zone_log.csv,4,False
2025-03-31 18:36:48,30,6,16,1,57.0,2,2025-03-31 18:36:49,20250331_183657_ys_zone_log.csv,2,True
2025-03-31 18:36:51,10,5,17,1,57.0,1,2025-03-31 18:36:51,20250331_183657_ys_zone_log.csv,1,True
2025-03-31 18:37:04,Fur ball,1,1,2,89.0,0,2025-03-31 18:37:06,20250331_183838_ys_zone_log.csv,0,True
2025-03-31 18:37:33,Steal ball,4,7,2,89.0,4,2025-03-31 18:37:34,20250331_183838_ys_zone_log.csv,4,True
2025-03-31 18:38:25,bouncy ball,3,21,2,89.0,3,2025-03-31 18:38:26,20250331_183838_ys_zone_log.csv,2,False
2025-03-31 18:38:28,Sponge ball,6,22,2,89.0,1,2025-03-31 18:38:29,20250331_183838_ys_zone_log.csv,1,True
2025-03-31 18:38:33,BaseBall,9,23,2,89.0,2,2025-03-31 18:38:34,20250331_183838_ys_zone_log.csv,3,False
2025-03-31 18:38:49,Fur ball,2,3,3,123.0,0,2025-03-31 18:38:50,20250331_184053_ys_zone_log.csv,0,True
2025-03-31 18:39:30,Sponge ball,3,13,3,123.0,1,2025-03-31 18:39:31,20250331_184053_ys_zone_log.csv,1,True
2025-03-31 18:40:26,Steal ball,12,31,3,123.0,4,2025-03-31 18:40:27,20250331_184053_ys_zone_log.csv,4,True
2025-03-31 18:40:41,bouncy ball,8,35,3,123.0,2,2025-03-31 18:40:43,20250331_184053_ys_zone_log.csv,2,True
2025-03-31 18:40:47,BaseBall,12,37,3,123.0,3,2025-03-31 18:40:49,20250331_184053_ys_zone_log.csv,3,True
2025-03-31 18:41:09,Fur ball,3,5,4,29.0,0,2025-03-31 18:41:08,20250331_184132_ys_zone_log.csv,0,True
2025-03-31 18:41:11,Sponge ball,2,7,4,29.0,1,2025-03-31 18:41:12,20250331_184132_ys_zone_log.csv,1,True
2025-03-31 18:41:18,BaseBall,2,9,4,29.0,2,2025-03-31 18:41:19,20250331_184132_ys_zone_log.csv,3,False
2025-03-31 18:41:22,Steal ball,2,10,4,29.0,4,2025-03-31 18:41:24,20250331_184132_ys_zone_log.csv,4,True
2025-03-31 18:41:27,bouncy ball,2,11,4,29.0,3,2025-03-31 18:41:28,20250331_184132_ys_zone_log.csv,2,False
2025-03-31 18:41:45,Fur ball,1,3,5,70.0,0,2025-03-31 18:41:46,20250331_184251_ys_zone_log.csv,0,True
2025-03-31 18:41:49,Sponge ball,1,4,5,70.0,1,2025-03-31 18:41:51,20250331_184251_ys_zone_log.csv,1,True
2025-03-31 18:42:41,bouncy ball,2,17,5,70.0,3,2025-03-31 18:42:43,20250331_184251_ys_zone_log.csv,2,False
2025-03-31 18:42:45,BaseBall,10,18,5,70.0,2,2025-03-31 18:42:46,20250331_184251_ys_zone_log.csv,3,False
2025-03-31 18:42:47,Steal ball,5,19,5,70.0,4,2025-03-31 18:42:48,20250331_184251_ys_zone_log.csv,4,True
2025-03-31 18:43:00,0,1,1,6,90.0,0,2025-03-31 18:43:02,20250331_184436_ys_zone_log.csv,0,True
2025-03-31 18:43:28,10,2,8,6,90.0,1,2025-03-31 18:43:29,20250331_184436_ys_zone_log.csv,1,True
2025-03-31 18:44:25,50,8,20,6,90.0,2,2025-03-31 18:44:27,20250331_184436_ys_zone_log.csv,3,False
2025-03-31 18:44:29,30,4,21,6,90.0,3,2025-03-31 18:44:29,20250331_184436_ys_zone_log.csv,2,False
2025-03-31 18:44:30,100,7,22,6,90.0,4,2025-03-31 18:44:31,20250331_184436_ys_zone_log.csv,4,True
2025-03-31 18:45:22,0,3,9,7,57.0,0,2025-03-31 18:45:23,20250331_184558_ys_zone_log.csv,0,True
2025-03-31 18:45:26,30,5,12,7,57.0,2,2025-03-31 18:45:27,20250331_184558_ys_zone_log.csv,2,True
2025-03-31 18:45:29,10,3,13,7,57.0,1,2025-03-31 18:45:30,20250331_184558_ys_zone_log.csv,1,True
2025-03-31 18:45:49,50,2,21,7,57.0,4,2025-03-31 18:45:50,20250331_184558_ys_zone_log.csv,3,False
2025-03-31 18:45:53,100,9,22,7,57.0,3,2025-03-31 18:45:54,20250331_184558_ys_zone_log.csv,4,False
2025-03-31 18:46:24,0,1,9,8,75.0,0,2025-03-31 18:46:26,20250331_184730_ys_zone_log.csv,0,True
2025-03-31 18:46:34,30,3,10,8,75.0,1,2025-03-31 18:46:36,20250331_184730_ys_zone_log.csv,2,False
2025-03-31 18:47:16,100,9,26,8,75.0,3,2025-03-31 18:47:18,20250331_184730_ys_zone_log.csv,4,False
2025-03-31 18:47:19,10,7,27,8,75.0,2,2025-03-31 18:47:20,20250331_184730_ys_zone_log.csv,1,False
2025-03-31 18:47:24,50,10,30,8,75.0,4,2025-03-31 18:47:26,20250331_184730_ys_zone_log.csv,3,False
2025-03-31 18:47:56,0,2,6,9,42.0,0,2025-03-31 18:47:58,20250331_184834_ys_zone_log.csv,0,True
2025-03-31 18:48:15,30,5,12,9,42.0,2,2025-03-31 18:48:16,20250331_184834_ys_zone_log.csv,2,True
2025-03-31 18:48:17,10,4,13,9,42.0,1,2025-03-31 18:48:18,20250331_184834_ys_zone_log.csv,1,True
2025-03-31 18:48:24,100,2,15,9,42.0,3,2025-03-31 18:48:25,20250331_184834_ys_zone_log.csv,4,False
2025-03-31 18:48:28,50,4,17,9,42.0,4,2025-03-31 18:48:29,20250331_184834_ys_zone_log.csv,3,False
2025-03-31 18:48:46,Fur ball,1,2,10,49.0,0,2025-03-31 18:48:48,20250331_184939_ys_zone_log.csv,0,True
2025-03-31 18:48:57,Sponge ball,1,5,10,49.0,1,2025-03-31 18:48:59,20250331_184939_ys_zone_log.csv,1,True
2025-03-31 18:49:13,bouncy ball,2,10,10,49.0,2,2025-03-31 18:49:15,20250331_184939_ys_zone_log.csv,2,True
2025-03-31 18:49:30,Steal ball,5,14,10,49.0,4,2025-03-31 18:49:32,20250331_184939_ys_zone_log.csv,4,True
2025-03-31 18:49:33,BaseBall,6,15,10,49.0,3,2025-03-31 18:49:34,20250331_184939_ys_zone_log.csv,3,True
